RefElement                                            |       Insert |       Remove |        Total |            σ
ManagedBufferHeap                                     |      0.416ms |      1.324ms |       1.74ms |     0.1466ms
ArrayHeap                                             |     0.3017ms |      1.583ms |      1.884ms |     0.1722ms
ArrayPointerHeap                                      |     0.4357ms |      1.459ms |      1.895ms |     0.1734ms
ClosureUnsafePointerHeap (local <)                    |     0.3775ms |       1.99ms |      2.367ms |     0.1812ms
ClosureUnsafePointerHeap (argument <)                 |     0.4021ms |      2.084ms |      2.486ms |     0.2067ms
ClosureUnsafePointerHeap (argument literal)           |     0.4056ms |      2.108ms |      2.514ms |     0.2519ms
ClosureArrayBufferHeap                                |     0.4102ms |      2.123ms |      2.533ms |     0.2426ms
ClosureManagedBufferHeap                              |     0.4237ms |      2.129ms |      2.553ms |     0.2024ms
ArrayPointerHeap (workaround)                         |     0.3092ms |      3.457ms |      3.766ms |     0.3132ms
Framework.NonCoWHeap                                  |      5.337ms |      41.77ms |       47.1ms |      2.839ms
Framework.UnsafePointerHeap                           |      7.849ms |      44.34ms |      52.19ms |      3.399ms
Framework.ClosureUnsafePointerHeap (argument literal) |      7.982ms |      44.97ms |      52.95ms |       3.37ms
Framework.ClosureArrayBufferHeap                      |      8.125ms |      44.86ms |      52.99ms |      3.554ms
Framework.ClosureUnsafePointerHeap (local literal)    |      7.922ms |      45.21ms |      53.13ms |      3.452ms
Framework.ClosureUnsafePointerHeap (argument <)       |      7.992ms |       45.2ms |      53.19ms |       3.43ms
Framework.ClosureUnsafePointerHeap (local <)          |      8.499ms |      49.21ms |      57.71ms |      3.581ms
Framework.ManagedBufferHeap                           |      22.99ms |      61.05ms |      84.04ms |      5.597ms
Framework.ArrayPointerHeap                            |      19.65ms |       64.8ms |      84.44ms |      5.787ms
Framework.ClosureManagedBufferHeap                    |      24.25ms |      63.98ms |      88.23ms |      5.692ms
Framework.PtrElementHeap                              |      5.033ms |      121.6ms |      126.6ms |      7.777ms
Framework.ArrayHeap                                   |      17.13ms |        159ms |      176.2ms |      11.68ms
-----------------------------------------------------------------------------------------------------------------

ValElement Large                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PtrElementHeap                                        |    0.07929ms |     0.9948ms |      1.074ms |        0.1ms
UnsafePointerHeap                                     |      0.564ms |      1.808ms |      2.372ms |      0.209ms
ClosureUnsafePointerHeap (local literal)              |      0.588ms |      1.822ms |       2.41ms |     0.2357ms
ManagedBufferHeap (workaround)                        |     0.5898ms |      1.879ms |      2.468ms |     0.2199ms
NonCoWHeap                                            |     0.6611ms |      1.934ms |      2.595ms |     0.2112ms
ManagedBufferHeap                                     |     0.7081ms |      2.014ms |      2.722ms |     0.2443ms
ArrayHeap                                             |     0.5835ms |      2.222ms |      2.805ms |     0.2525ms
ArrayPointerHeap                                      |     0.8219ms |      2.104ms |      2.926ms |     0.2978ms
ClosureArrayBufferHeap                                |     0.7309ms |      3.032ms |      3.763ms |     0.2887ms
ClosureUnsafePointerHeap (argument <)                 |     0.7434ms |      3.024ms |      3.767ms |     0.2987ms
ClosureUnsafePointerHeap (argument literal)           |     0.7548ms |      3.091ms |      3.845ms |     0.4071ms
ClosureManagedBufferHeap                              |     0.9228ms |      3.135ms |      4.058ms |     0.3089ms
ClosureUnsafePointerHeap (local <)                    |     0.7033ms |      3.601ms |      4.304ms |      0.337ms
ArrayPointerHeap (workaround)                         |     0.6557ms |      4.123ms |      4.779ms |     0.3705ms
Framework.NonCoWHeap                                  |      6.196ms |       47.6ms |       53.8ms |      3.681ms
Framework.UnsafePointerHeap                           |      8.831ms |      50.59ms |      59.42ms |      3.806ms
Framework.ClosureArrayBufferHeap                      |       9.09ms |      50.41ms |       59.5ms |      3.739ms
Framework.ClosureUnsafePointerHeap (argument literal) |       8.77ms |      51.09ms |      59.86ms |      3.918ms
Framework.ClosureUnsafePointerHeap (local literal)    |      8.991ms |      50.97ms |      59.96ms |      4.154ms
Framework.ClosureUnsafePointerHeap (argument <)       |      8.757ms |      51.39ms |      60.15ms |      3.993ms
Framework.ClosureUnsafePointerHeap (local <)          |      9.658ms |      54.82ms |      64.48ms |      4.534ms
Framework.ManagedBufferHeap                           |      23.96ms |      66.45ms |       90.4ms |      5.624ms
Framework.ArrayPointerHeap                            |      20.79ms |      71.11ms |       91.9ms |      5.851ms
Framework.ClosureManagedBufferHeap                    |      24.99ms |      69.73ms |      94.72ms |      6.291ms
Framework.PtrElementHeap                              |      4.954ms |        121ms |        126ms |      8.099ms
Framework.ArrayHeap                                   |      17.94ms |        164ms |      181.9ms |      11.94ms
-----------------------------------------------------------------------------------------------------------------

PtrElement Ref                                        |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PtrElementHeap                                        |     0.0831ms |     0.9923ms |      1.075ms |    0.09914ms
UnsafePointerHeap                                     |     0.2591ms |      1.565ms |      1.824ms |     0.1732ms
ClosureUnsafePointerHeap (local literal)              |     0.2727ms |      1.564ms |      1.836ms |     0.1843ms
ManagedBufferHeap (workaround)                        |     0.2813ms |      1.626ms |      1.907ms |     0.1807ms
NonCoWHeap                                            |     0.3519ms |      1.651ms |      2.002ms |     0.1765ms
ManagedBufferHeap                                     |     0.3814ms |      1.758ms |       2.14ms |     0.1923ms
ArrayHeap                                             |     0.2722ms |      1.921ms |      2.194ms |     0.1874ms
ArrayPointerHeap                                      |     0.4617ms |      1.854ms |      2.316ms |     0.1905ms
ClosureManagedBufferHeap                              |     0.3736ms |      3.206ms |       3.58ms |     0.2988ms
ClosureUnsafePointerHeap (argument <)                 |     0.3844ms |      3.236ms |      3.621ms |     0.2724ms
ClosureArrayBufferHeap                                |     0.3629ms |      3.259ms |      3.622ms |     0.3124ms
ClosureUnsafePointerHeap (argument literal)           |     0.3941ms |      3.262ms |      3.656ms |     0.3356ms
ArrayPointerHeap (workaround)                         |      0.306ms |      3.894ms |        4.2ms |     0.3422ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.166ms |      9.509ms |      12.68ms |     0.9308ms
Framework.ClosureArrayBufferHeap                      |      3.395ms |      9.365ms |      12.76ms |     0.9962ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.173ms |      9.715ms |      12.89ms |      1.031ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.168ms |      9.725ms |      12.89ms |      1.058ms
ClosureUnsafePointerHeap (local <)                    |      1.279ms |      12.16ms |      13.43ms |     0.9997ms
Framework.NonCoWHeap                                  |      2.097ms |      16.36ms |      18.46ms |      1.418ms
Framework.UnsafePointerHeap                           |      4.186ms |      18.76ms |      22.95ms |      1.651ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.995ms |      22.85ms |      27.85ms |      2.073ms
Framework.ClosureManagedBufferHeap                    |      19.54ms |      28.33ms |      47.87ms |      3.495ms
Framework.ArrayPointerHeap                            |      12.57ms |      36.01ms |      48.57ms |      3.562ms
Framework.ManagedBufferHeap                           |      18.87ms |      35.25ms |      54.12ms |      3.495ms
Framework.PtrElementHeap                              |      5.009ms |      121.3ms |      126.3ms |      8.078ms
Framework.ArrayHeap                                   |      13.61ms |      138.4ms |        152ms |      13.25ms
-----------------------------------------------------------------------------------------------------------------

PtrElement Val                                        |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PtrElementHeap                                        |    0.08263ms |     0.9913ms |      1.074ms |    0.09574ms
UnsafePointerHeap                                     |     0.2543ms |      1.328ms |      1.582ms |     0.1568ms
ClosureUnsafePointerHeap (local literal)              |     0.2659ms |      1.346ms |      1.612ms |     0.1557ms
ManagedBufferHeap (workaround)                        |      0.277ms |      1.373ms |       1.65ms |     0.1544ms
NonCoWHeap                                            |     0.3383ms |      1.419ms |      1.757ms |     0.1428ms
ManagedBufferHeap                                     |     0.3724ms |      1.471ms |      1.843ms |     0.1598ms
ArrayHeap                                             |     0.2704ms |      1.654ms |      1.925ms |     0.2119ms
ArrayPointerHeap                                      |     0.4133ms |      1.671ms |      2.085ms |     0.1796ms
ClosureUnsafePointerHeap (argument literal)           |     0.3606ms |      2.617ms |      2.978ms |     0.2459ms
ClosureUnsafePointerHeap (argument <)                 |     0.3595ms |      2.642ms |      3.002ms |     0.3066ms
ClosureManagedBufferHeap                              |     0.3775ms |      2.638ms |      3.016ms |     0.2624ms
ClosureArrayBufferHeap                                |     0.3561ms |       2.69ms |      3.046ms |      0.286ms
ArrayPointerHeap (workaround)                         |     0.2934ms |      3.695ms |      3.988ms |     0.3259ms
