RefElement                                              |       Insert |       Remove |        Total |            σ
BinaryHeap.ArrayPointerHeap                            |     0.4224ms |      1.351ms |      1.773ms |    0.07145ms
BinaryHeap.ArrayHeap                                   |     0.3278ms |      1.601ms |      1.928ms |     0.1211ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |     0.4341ms |      3.247ms |      3.681ms |     0.1528ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |     0.4356ms |      3.265ms |      3.701ms |     0.2087ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.4374ms |      3.274ms |      3.711ms |     0.2361ms
BinaryHeap.ClosureArrayBufferHeap                      |     0.4101ms |      3.381ms |      3.791ms |     0.1791ms
BinaryHeap.ClosureManagedBufferHeap                    |      0.392ms |      3.448ms |       3.84ms |     0.2985ms
Framework.UnsafePointerHeap                            |      5.262ms |      40.26ms |      45.52ms |      1.589ms
Framework.NonCoWHeap                                   |      5.797ms |      39.88ms |      45.68ms |      1.238ms
Framework.ClosureUnsafePointerHeap (argument <)        |      5.429ms |      41.73ms |      47.16ms |      3.218ms
Framework.ClosureUnsafePointerHeap (local literal)     |      5.379ms |      41.79ms |      47.17ms |      1.909ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      5.371ms |         42ms |      47.37ms |      2.237ms
Framework.ClosureArrayBufferHeap                       |      5.628ms |      43.26ms |      48.89ms |      3.735ms
Framework.ArrayPointerHeap                             |      18.23ms |      59.56ms |       77.8ms |      3.179ms
Framework.ManagedBufferHeap                            |      21.74ms |      59.68ms |      81.41ms |      8.271ms
Framework.ClosureManagedBufferHeap                     |      22.61ms |      61.83ms |      84.44ms |      3.485ms
Framework.PtrElementHeap                               |      5.088ms |      127.6ms |      132.6ms |      8.507ms
Framework.ArrayHeap                                    |      17.54ms |      166.6ms |      184.1ms |      19.44ms
------------------------------------------------------------------------------------------------------------------

ValElement Large                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.PtrElementHeap                              |    0.06974ms |      1.201ms |      1.271ms |    0.07708ms
BinaryHeap.UnsafePointerHeap                           |     0.5006ms |      1.385ms |      1.886ms |     0.1004ms
BinaryHeap.ManagedBufferHeap (workaround)              |     0.5272ms |      1.438ms |      1.966ms |     0.1484ms
BinaryHeap.NonCoWHeap                                  |     0.5602ms |        1.5ms |      2.061ms |     0.1127ms
BinaryHeap.ArrayPointerHeap (workaround)               |      0.553ms |      1.554ms |      2.107ms |    0.09796ms
BinaryHeap.ManagedBufferHeap                           |     0.6536ms |      1.553ms |      2.207ms |     0.1489ms
BinaryHeap.ArrayPointerHeap                            |     0.6328ms |      1.742ms |      2.375ms |     0.1502ms
BinaryHeap.ArrayHeap                                   |     0.5725ms |      1.899ms |      2.472ms |      0.191ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |     0.6419ms |      3.596ms |      4.238ms |     0.1687ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |     0.6312ms |      3.622ms |      4.253ms |     0.2177ms
BinaryHeap.ClosureArrayBufferHeap                      |     0.6884ms |      3.842ms |       4.53ms |     0.2823ms
BinaryHeap.ClosureManagedBufferHeap                    |     0.6734ms |      3.944ms |      4.617ms |     0.2845ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.6681ms |      3.998ms |      4.666ms |      1.241ms
Framework.NonCoWHeap                                   |       6.46ms |      45.77ms |      52.23ms |      1.806ms
Framework.UnsafePointerHeap                            |      6.241ms |      46.12ms |      52.36ms |      2.048ms
Framework.ClosureUnsafePointerHeap (argument <)        |      6.456ms |      46.32ms |      52.78ms |      1.673ms
Framework.ClosureUnsafePointerHeap (argument literal)  |       6.53ms |      46.97ms |       53.5ms |      1.465ms
Framework.ClosureUnsafePointerHeap (local literal)     |      6.241ms |      47.37ms |      53.61ms |      3.002ms
Framework.ClosureArrayBufferHeap                       |      6.372ms |      48.79ms |      55.16ms |       4.64ms
Framework.ArrayPointerHeap                             |      19.32ms |      66.08ms |       85.4ms |      3.386ms
Framework.ManagedBufferHeap                            |      22.68ms |      63.71ms |      86.39ms |      5.583ms
Framework.ClosureManagedBufferHeap                     |      23.59ms |      68.93ms |      92.52ms |       3.81ms
Framework.PtrElementHeap                               |      4.969ms |      124.5ms |      129.5ms |      4.267ms
Framework.ArrayHeap                                    |      18.08ms |      167.8ms |      185.9ms |      8.596ms
------------------------------------------------------------------------------------------------------------------

PtrElement Ref                                         |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.PtrElementHeap                              |    0.06744ms |      1.174ms |      1.242ms |    0.08371ms
BinaryHeap.ManagedBufferHeap (workaround)              |     0.2925ms |      1.502ms |      1.795ms |     0.1902ms
BinaryHeap.UnsafePointerHeap                           |     0.3102ms |      1.489ms |      1.799ms |     0.1532ms
BinaryHeap.NonCoWHeap                                  |     0.3589ms |       1.55ms |      1.909ms |     0.1081ms
BinaryHeap.ArrayPointerHeap (workaround)               |     0.2976ms |      1.654ms |      1.951ms |     0.1611ms
