RefElement                                            |       Insert |       Remove |        Total |            σ
Framework.ClosureArrayBufferHeap                      |      7.817ms |      43.33ms |      51.15ms |      1.915ms
ClosureUnsafePointerHeap (argument <)                 |      7.591ms |      43.72ms |      51.31ms |      2.439ms
ClosureArrayBufferHeap                                |      7.798ms |      43.68ms |      51.47ms |      2.123ms
Framework.ClosureUnsafePointerHeap (argument literal) |      7.681ms |       44.1ms |      51.79ms |      1.516ms
ClosureUnsafePointerHeap (argument literal)           |      7.698ms |       44.2ms |       51.9ms |      1.886ms
Framework.UnsafePointerHeap                           |      11.12ms |      42.63ms |      53.75ms |      1.333ms
UnsafePointerHeap                                     |      11.11ms |      42.72ms |      53.83ms |      1.397ms
ClosureUnsafePointerHeap (local <)                    |      8.021ms |      47.55ms |      55.57ms |      1.833ms
Framework.ClosureUnsafePointerHeap (local <)          |       8.12ms |       47.9ms |      56.02ms |      15.68ms
ArrayPointerHeap (workaround)                         |      17.67ms |      57.21ms |      74.88ms |      2.703ms
ArrayPointerHeap                                      |      21.44ms |      59.85ms |      81.29ms |      1.891ms
Framework.ArrayPointerHeap                            |       21.7ms |      59.94ms |      81.64ms |      3.217ms
Framework.ClosureManagedBufferHeap                    |      22.39ms |      60.89ms |      83.28ms |      2.904ms
ClosureManagedBufferHeap                              |       22.5ms |      60.81ms |      83.31ms |      2.324ms
Framework.ManagedBufferHeap                           |      25.49ms |      58.32ms |      83.81ms |      1.832ms
ManagedBufferHeap                                     |      25.55ms |       58.3ms |      83.85ms |      2.596ms
ManagedBufferHeap (workaround)                        |       26.5ms |      60.94ms |      87.44ms |      2.933ms
PtrElementHeap                                        |      4.323ms |      111.6ms |      115.9ms |      3.394ms
Framework.PtrElementHeap                              |       4.35ms |      111.7ms |        116ms |      4.032ms
ArrayHeap                                             |      19.22ms |      147.8ms |        167ms |      4.953ms
Framework.ArrayHeap                                   |      19.23ms |      147.9ms |      167.1ms |      6.127ms
-----------------------------------------------------------------------------------------------------------------

ValElement Large                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
NonCoWHeap                                            |      10.12ms |      45.91ms |      56.03ms |      4.929ms
Framework.ClosureArrayBufferHeap                      |       8.58ms |      48.55ms |      57.13ms |      1.975ms
ClosureArrayBufferHeap                                |      8.606ms |      48.67ms |      57.28ms |      2.387ms
Framework.NonCoWHeap                                  |      10.12ms |      47.18ms |       57.3ms |      2.418ms
