RefElement                                            |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PtrElementHeap                                        |    0.08851ms |      1.005ms |      1.094ms |    0.09087ms
ClassElementHeap                                      |     0.3476ms |      1.304ms |      1.651ms |     0.1261ms
UnsafePointerHeap                                     |     0.4924ms |       1.31ms |      1.802ms |     0.1705ms
ManagedBufferHeap (workaround)                        |     0.4796ms |      1.347ms |      1.827ms |     0.1531ms
NonCoWHeap                                            |     0.5388ms |      1.396ms |      1.935ms |     0.1567ms
ManagedBufferHeap                                     |     0.5826ms |      1.411ms |      1.993ms |     0.1884ms
ArrayPointerHeap (@transparent + workaround)          |     0.7784ms |      2.706ms |      3.484ms |     0.2675ms
ArrayPointerHeap (workaround)                         |     0.8285ms |      2.672ms |      3.501ms |     0.2841ms
CFBinaryHeapWrapper                                   |     0.6814ms |      3.338ms |      4.019ms |     0.3349ms
Framework.CFBinaryHeapWrapper                         |     0.8575ms |      3.177ms |      4.035ms |      0.323ms
ArrayPointerHeap (@transparent)                       |        1.2ms |      2.999ms |      4.199ms |     0.3358ms
ArrayPointerHeap                                      |      1.325ms |      3.081ms |      4.406ms |     0.4729ms
ClosureUnsafePointerHeap (argument <)                 |      1.427ms |      10.11ms |      11.54ms |     0.6958ms
ClosureUnsafePointerHeap (argument literal)           |      1.492ms |      10.18ms |      11.68ms |     0.7059ms
ClosureManagedBufferHeap                              |      1.369ms |      11.19ms |      12.56ms |     0.7729ms
ClosureUnsafePointerHeap (local literal)              |      1.388ms |      11.25ms |      12.64ms |      1.079ms
ClosureArrayBufferHeap                                |      1.482ms |      11.22ms |       12.7ms |     0.7652ms
Framework.NonCoWHeap                                  |      2.043ms |      13.33ms |      15.37ms |     0.9875ms
ClosureUnsafePointerHeap (local <)                    |      1.772ms |      16.11ms |      17.88ms |      1.206ms
ArrayHeap                                             |       1.96ms |      16.65ms |      18.61ms |      1.189ms
ArrayHeap (@transparent)                              |      1.993ms |      16.74ms |      18.73ms |      1.403ms
Framework.UnsafePointerHeap                           |       4.31ms |      16.04ms |      20.35ms |      1.124ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.294ms |      16.17ms |      20.46ms |      1.298ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.314ms |      16.17ms |      20.48ms |      1.103ms
Framework.ClosureArrayBufferHeap                      |      4.703ms |      16.29ms |         21ms |      1.489ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.438ms |      16.73ms |      21.16ms |      3.115ms
Framework.ClassElementHeap                            |      4.807ms |      17.75ms |      22.56ms |       1.24ms
