RefElement                                            |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.CFBinaryHeapWrapper                         |     0.7165ms |      3.204ms |      3.921ms |     0.2828ms
CFBinaryHeapWrapper                                   |     0.8423ms |      4.362ms |      5.204ms |     0.3414ms
Framework.NonCoWHeap                                  |      4.901ms |      12.51ms |      17.42ms |     0.8754ms
NonCoWHeap                                            |      4.972ms |      12.49ms |      17.46ms |      1.095ms
ClosureUnsafePointerHeap (argument <)                 |      4.146ms |      15.65ms |      19.79ms |     0.9261ms
ClosureUnsafePointerHeap (argument literal)           |      4.146ms |      15.71ms |      19.86ms |      0.699ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.117ms |      15.77ms |      19.89ms |     0.8274ms
Framework.ClosureArrayBufferHeap                      |      4.398ms |      15.57ms |      19.96ms |     0.5335ms
Framework.ClosureUnsafePointerHeap (argument literal) |       4.16ms |      15.89ms |      20.05ms |      1.145ms
ClosureUnsafePointerHeap (local literal)              |      4.267ms |      15.78ms |      20.05ms |     0.9372ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.212ms |      15.94ms |      20.16ms |     0.9322ms
ClosureArrayBufferHeap                                |      4.679ms |      15.64ms |      20.31ms |     0.7581ms
UnsafePointerHeap                                     |      7.041ms |         15ms |      22.04ms |      1.193ms
Framework.UnsafePointerHeap                           |       6.98ms |      15.13ms |      22.11ms |      1.012ms
Framework.ClassElementHeap                            |      7.379ms |      17.21ms |      24.58ms |      1.276ms
ClassElementHeap                                      |       7.43ms |      17.16ms |      24.59ms |      1.465ms
ClosureUnsafePointerHeap (local <)                    |      4.717ms |       22.4ms |      27.11ms |     0.8999ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.803ms |      22.87ms |      27.68ms |      1.815ms
ArrayPointerHeap (workaround)                         |      14.35ms |      29.53ms |      43.88ms |      1.979ms
ArrayPointerHeap (@transparent + workaround)          |       14.7ms |      30.33ms |      45.03ms |      2.723ms
ArrayPointerHeap                                      |      15.38ms |      30.41ms |      45.79ms |      1.676ms
Framework.ArrayPointerHeap                            |      15.21ms |      30.85ms |      46.06ms |      2.291ms
ArrayPointerHeap (@transparent)                       |      15.88ms |      31.14ms |      47.01ms |      3.315ms
ManagedBufferHeap                                     |      21.61ms |       30.7ms |      52.31ms |      1.508ms
Framework.ManagedBufferHeap                           |      21.66ms |       30.8ms |      52.46ms |      1.372ms
Framework.ClosureManagedBufferHeap                    |         20ms |      35.07ms |      55.07ms |      1.765ms
ClosureManagedBufferHeap                              |      20.44ms |      34.69ms |      55.13ms |      2.539ms
ManagedBufferHeap (workaround)                        |      23.18ms |      34.03ms |      57.21ms |      3.015ms
PtrElementHeap                                        |      4.691ms |      123.7ms |      128.4ms |      3.964ms
Framework.PtrElementHeap                              |      4.941ms |      126.4ms |      131.3ms |      10.97ms
ArrayHeap (@transparent)                              |      17.95ms |      148.3ms |      166.3ms |      6.108ms
ArrayHeap                                             |      18.29ms |      148.6ms |      166.9ms |      7.504ms
Framework.ArrayHeap                                   |      18.24ms |        150ms |      168.2ms |      8.734ms
-----------------------------------------------------------------------------------------------------------------

ValElement Small                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      3.706ms |      5.368ms |      9.073ms |     0.4376ms
NonCoWHeap                                            |      3.704ms |      5.469ms |      9.173ms |      0.601ms
ClosureUnsafePointerHeap (local literal)              |      2.961ms |      9.735ms |       12.7ms |      0.776ms
ClosureUnsafePointerHeap (argument <)                 |      3.006ms |      9.726ms |      12.73ms |     0.5248ms
Framework.ClosureUnsafePointerHeap (argument <)       |      2.927ms |      9.919ms |      12.85ms |     0.7489ms
Framework.ClosureArrayBufferHeap                      |       3.26ms |      9.603ms |      12.86ms |     0.4641ms
ClosureUnsafePointerHeap (argument literal)           |      2.967ms |      9.913ms |      12.88ms |     0.4132ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.003ms |      9.902ms |      12.91ms |     0.4473ms
ClosureArrayBufferHeap                                |       3.35ms |      9.612ms |      12.96ms |      0.608ms
Framework.ClosureUnsafePointerHeap (argument literal) |      2.996ms |      10.06ms |      13.05ms |      0.624ms
Framework.UnsafePointerHeap                           |      5.628ms |      7.789ms |      13.42ms |     0.4411ms
UnsafePointerHeap                                     |      5.605ms |      8.105ms |      13.71ms |     0.8234ms
ClosureUnsafePointerHeap (local <)                    |      3.605ms |      15.02ms |      18.63ms |     0.6737ms
Framework.ClosureUnsafePointerHeap (local <)          |      3.642ms |      15.01ms |      18.66ms |      1.068ms
ArrayPointerHeap (workaround)                         |      12.82ms |      22.25ms |      35.07ms |      1.473ms
ArrayPointerHeap                                      |       13.4ms |      22.61ms |      36.01ms |      1.008ms
Framework.ArrayPointerHeap                            |      13.39ms |      22.98ms |      36.36ms |       1.84ms
ManagedBufferHeap                                     |         20ms |      23.73ms |      43.73ms |      1.646ms
Framework.ManagedBufferHeap                           |      19.98ms |      23.84ms |      43.82ms |      1.463ms
Framework.ClosureManagedBufferHeap                    |       18.5ms |      27.78ms |      46.28ms |      1.697ms
ClosureManagedBufferHeap                              |      18.78ms |       28.3ms |      47.08ms |      1.879ms
ManagedBufferHeap (workaround)                        |      21.33ms |       26.1ms |      47.43ms |      2.086ms
Framework.PtrElementHeap                              |      4.782ms |      123.5ms |      128.3ms |      3.936ms
PtrElementHeap                                        |      4.774ms |        124ms |      128.8ms |      4.785ms
Framework.ArrayHeap                                   |      14.88ms |      124.1ms |        139ms |      4.899ms
ArrayHeap                                             |      14.96ms |      124.7ms |      139.6ms |      6.369ms
-----------------------------------------------------------------------------------------------------------------

ValElement Medium                                     |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      9.677ms |      41.63ms |      51.31ms |      2.039ms
NonCoWHeap                                            |      9.853ms |      42.74ms |      52.59ms |      2.723ms
Framework.ClosureUnsafePointerHeap (argument <)       |      7.801ms |      45.54ms |      53.34ms |      2.229ms
