ReferenceElement                                        |       Insert |       Remove |        Total |            σ
Framework.MediumValueElementHeap                       |     0.3445ms |      1.243ms |      1.587ms |    0.09847ms
BinaryHeap.ArrayPointerHeap                            |     0.4225ms |      1.382ms |      1.804ms |     0.1101ms
BinaryHeap.ArrayHeap                                   |     0.3309ms |      1.525ms |      1.855ms |     0.1769ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |     0.4215ms |      3.153ms |      3.574ms |     0.1475ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.4263ms |      3.153ms |      3.579ms |     0.1569ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |     0.4275ms |      3.199ms |      3.626ms |     0.2071ms
BinaryHeap.ClosureManagedBufferHeap                    |      0.389ms |      3.308ms |      3.697ms |     0.1453ms
BinaryHeap.ClosureArrayBufferHeap                      |      1.046ms |      11.57ms |      12.61ms |     0.4897ms
Framework.UnsafePointerHeap                            |      5.162ms |      39.52ms |      44.68ms |       1.11ms
Framework.NonCoWHeap                                   |      5.401ms |      39.47ms |      44.87ms |      1.032ms
Framework.ClosureUnsafePointerHeap (local literal)     |      5.207ms |       42.3ms |       47.5ms |       1.18ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      5.238ms |      42.36ms |       47.6ms |      1.348ms
Framework.ClosureUnsafePointerHeap (argument <)        |      5.254ms |      42.36ms |      47.62ms |       1.13ms
Framework.ArrayPointerHeap                             |      17.91ms |      58.25ms |      76.17ms |      1.573ms
Framework.ManagedBufferHeap                            |      21.03ms |      57.56ms |      78.59ms |      1.778ms
Framework.ClosureManagedBufferHeap                     |      22.08ms |      62.78ms |      84.86ms |      2.175ms
Framework.ClosureArrayBufferHeap                       |      10.45ms |      75.77ms |      86.22ms |      2.258ms
Framework.ArrayHeap                                    |      16.93ms |      159.7ms |      176.6ms |       3.98ms
------------------------------------------------------------------------------------------------------------------

ValElement Large                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.ManagedBufferHeap (workaround)              |      0.507ms |      1.396ms |      1.902ms |      0.114ms
BinaryHeap.LargeValueElementHeap                       |     0.5204ms |      1.439ms |      1.959ms |    0.08425ms
BinaryHeap.UnsafePointerHeap                           |     0.5161ms |      1.453ms |      1.969ms |     0.1099ms
BinaryHeap.NonCoWHeap                                  |     0.5511ms |       1.48ms |      2.031ms |    0.09551ms
BinaryHeap.ArrayPointerHeap (workaround)               |     0.5327ms |      1.523ms |      2.056ms |    0.09924ms
BinaryHeap.ManagedBufferHeap                           |     0.6293ms |       1.52ms |      2.149ms |     0.0971ms
Framework.LargeValueElementHeap                        |     0.5497ms |       1.61ms |       2.16ms |     0.1024ms
BinaryHeap.ArrayPointerHeap                            |     0.6192ms |      1.727ms |      2.347ms |     0.1259ms
BinaryHeap.ArrayHeap                                   |     0.5281ms |      1.858ms |      2.386ms |     0.1347ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.6334ms |      3.565ms |      4.198ms |     0.1582ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |     0.6324ms |      3.568ms |        4.2ms |     0.1909ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |     0.6448ms |      3.598ms |      4.243ms |     0.2206ms
BinaryHeap.ClosureManagedBufferHeap                    |     0.6358ms |      3.734ms |       4.37ms |     0.1961ms
BinaryHeap.ClosureArrayBufferHeap                      |      1.312ms |      12.46ms |      13.77ms |     0.3991ms
Framework.UnsafePointerHeap                            |      5.974ms |      45.08ms |      51.05ms |      1.381ms
Framework.NonCoWHeap                                   |      6.248ms |      44.89ms |      51.13ms |      1.233ms
Framework.ClosureUnsafePointerHeap (argument <)        |      6.038ms |      45.84ms |      51.87ms |      1.021ms
Framework.ClosureUnsafePointerHeap (argument literal)  |       6.04ms |      46.05ms |      52.09ms |      1.256ms
Framework.ClosureUnsafePointerHeap (local literal)     |      6.062ms |      46.35ms |      52.42ms |      1.324ms
Framework.ArrayPointerHeap                             |      19.13ms |      64.53ms |      83.66ms |      2.728ms
Framework.ManagedBufferHeap                            |      21.75ms |       62.4ms |      84.14ms |      1.403ms
Framework.ClosureManagedBufferHeap                     |      23.14ms |      66.52ms |      89.66ms |       2.44ms
Framework.ClosureArrayBufferHeap                       |      11.32ms |      80.68ms |      92.01ms |      2.068ms
Framework.ArrayHeap                                    |      17.62ms |      163.4ms |        181ms |       3.91ms
------------------------------------------------------------------------------------------------------------------

PointerElement Ref                                     |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.ManagedBufferHeap (workaround)              |     0.2933ms |      1.538ms |      1.831ms |     0.1022ms
BinaryHeap.PointerReferenceElementHeap                 |     0.3148ms |      1.539ms |      1.854ms |    0.08246ms
BinaryHeap.UnsafePointerHeap                           |      0.306ms |      1.554ms |       1.86ms |     0.1035ms
BinaryHeap.ArrayPointerHeap (workaround)               |      0.303ms |      1.672ms |      1.975ms |     0.1064ms
BinaryHeap.NonCoWHeap                                  |     0.3636ms |      1.625ms |      1.989ms |     0.1036ms
Framework.PointerReferenceElementHeap                  |     0.3144ms |      1.701ms |      2.016ms |    0.07042ms
BinaryHeap.ManagedBufferHeap                           |     0.3728ms |      1.664ms |      2.037ms |    0.08773ms
BinaryHeap.ArrayPointerHeap                            |     0.4117ms |      1.854ms |      2.266ms |     0.2346ms
BinaryHeap.ArrayHeap                                   |     0.3093ms |      2.067ms |      2.377ms |      0.141ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.3911ms |      3.392ms |      3.783ms |     0.1726ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.9464ms |      6.724ms |      7.671ms |     0.3008ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      4.139ms |      31.81ms |      35.95ms |      4.193ms
BinaryHeap.ClosureManagedBufferHeap                    |      4.128ms |       32.5ms |      36.62ms |      4.399ms
Framework.NonCoWHeap                                   |      4.975ms |      33.82ms |      38.79ms |      4.283ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      4.374ms |      34.53ms |      38.91ms |      4.019ms
Framework.UnsafePointerHeap                            |      4.765ms |       34.4ms |      39.16ms |      4.349ms
Framework.ClosureUnsafePointerHeap (local literal)     |      4.827ms |      35.26ms |      40.09ms |      4.205ms
Framework.ClosureUnsafePointerHeap (argument <)        |      4.943ms |      38.65ms |      43.59ms |      4.317ms
BinaryHeap.ClosureArrayBufferHeap                      |       4.83ms |      40.12ms |      44.95ms |      4.304ms
Framework.ClosureArrayBufferHeap                       |      8.456ms |      51.78ms |      60.23ms |      4.592ms
Framework.ArrayPointerHeap                             |       14.1ms |       50.9ms |      64.99ms |      4.991ms
Framework.ManagedBufferHeap                            |       20.6ms |      52.31ms |      72.91ms |      4.871ms
Framework.ClosureManagedBufferHeap                     |      21.75ms |      55.73ms |      77.49ms |      4.566ms
Framework.ArrayHeap                                    |      16.38ms |      152.7ms |      169.1ms |      7.093ms
------------------------------------------------------------------------------------------------------------------

PointerElement Val                                     |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.ManagedBufferHeap (workaround)              |      0.285ms |      1.279ms |      1.564ms |    0.07544ms
BinaryHeap.PointerValueElementHeap                     |     0.2882ms |       1.32ms |      1.608ms |      0.064ms
BinaryHeap.UnsafePointerHeap                           |     0.2958ms |      1.342ms |      1.638ms |      0.104ms
BinaryHeap.ArrayPointerHeap (workaround)               |      0.298ms |      1.436ms |      1.734ms |    0.09954ms
BinaryHeap.NonCoWHeap                                  |     0.3562ms |      1.394ms |      1.751ms |    0.08691ms
BinaryHeap.ManagedBufferHeap                           |      0.365ms |      1.422ms |      1.787ms |    0.08212ms
