ReferenceElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
CFBinaryHeapWrapper (non-generic test)                |     0.7281ms |      3.619ms |      4.347ms |     0.5333ms
Framework.CFBinaryHeapWrapper (non-generic test)      |     0.7199ms |      4.023ms |      4.743ms |     0.4352ms
CFBinaryHeapWrapper                                   |      3.663ms |      3.758ms |      7.421ms |      1.532ms
Framework.CFBinaryHeapWrapper                         |       3.58ms |      4.686ms |      8.266ms |     0.8236ms
Framework.NonCoWHeap                                  |      4.896ms |       12.6ms |      17.49ms |     0.9465ms
NonCoWHeap                                            |      4.844ms |      12.67ms |      17.52ms |      1.012ms
ClosureUnsafePointerHeap (argument <)                 |      4.196ms |      15.49ms |      19.69ms |      1.158ms
ClosureUnsafePointerHeap (local literal)              |      4.214ms |      15.53ms |      19.75ms |      1.279ms
ClosureUnsafePointerHeap (argument literal)           |      4.227ms |      15.61ms |      19.84ms |      1.181ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.262ms |       15.6ms |      19.87ms |      1.297ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.203ms |      15.66ms |      19.87ms |      1.467ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.336ms |      15.71ms |      20.04ms |       1.64ms
UnsafePointerHeap                                     |      6.894ms |      15.11ms |      22.01ms |       1.24ms
Framework.ReferenceElementHeap                        |      6.951ms |      15.34ms |      22.29ms |      1.602ms
ReferenceElementHeap                                  |      6.978ms |      15.32ms |       22.3ms |      1.628ms
Framework.UnsafePointerHeap                           |      6.974ms |      15.41ms |      22.39ms |      1.539ms
Framework.ClassElementHeap                            |      7.013ms |      17.07ms |      24.08ms |      1.331ms
ClassElementHeap                                      |      7.011ms |      17.11ms |      24.12ms |      1.468ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.811ms |      19.92ms |      24.73ms |       1.89ms
ClosureUnsafePointerHeap (local <)                    |      4.864ms |      20.05ms |      24.92ms |      1.795ms
ClosureArrayBufferHeap                                |      7.919ms |      29.94ms |      37.86ms |      2.518ms
Framework.ClosureArrayBufferHeap                      |      7.817ms |      30.11ms |      37.93ms |       2.27ms
ArrayPointerHeap (workaround)                         |      14.07ms |      30.08ms |      44.14ms |      2.536ms
ArrayPointerHeap (@transparent + workaround)          |      13.98ms |      30.27ms |      44.25ms |      2.567ms
ArrayPointerHeap                                      |      14.88ms |      30.52ms |       45.4ms |      2.529ms
ArrayPointerHeap (@transparent)                       |      15.09ms |       30.8ms |       45.9ms |      2.693ms
