ReferenceElement                                      |       Insert |       Remove |        Total |            σ
Framework.ClosureUnsafePointerHeap (argument literal) |      3.297ms |      10.76ms |      14.05ms |       1.23ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.489ms |      11.28ms |      14.77ms |      0.955ms
Framework.NonCoWHeap                                  |      2.131ms |      16.52ms |      18.65ms |      1.018ms
ClosureUnsafePointerHeap (local <)                    |      1.971ms |      20.63ms |       22.6ms |      1.627ms
Framework.UnsafePointerHeap                           |      4.594ms |      19.86ms |      24.45ms |      2.222ms
Framework.ClosureUnsafePointerHeap (local <)          |      5.373ms |      28.16ms |      33.54ms |      2.335ms
Framework.ClosureArrayBufferHeap                      |      7.937ms |      30.25ms |      38.18ms |      3.351ms
Framework.ClosureManagedBufferHeap                    |      21.12ms |      31.23ms |      52.35ms |      3.377ms
Framework.ArrayPointerHeap                            |      13.99ms |      39.59ms |      53.57ms |      4.063ms
Framework.ManagedBufferHeap                           |      20.67ms |      37.19ms |      57.86ms |        3.2ms
Framework.ArrayHeap                                   |      16.02ms |      157.5ms |      173.5ms |      8.373ms
-----------------------------------------------------------------------------------------------------------------

PointerElement Val                                    |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PointerValueElementHeap                               |     0.3084ms |      1.492ms |      1.801ms |     0.1724ms
UnsafePointerHeap                                     |     0.3159ms |      1.488ms |      1.804ms |     0.1899ms
ManagedBufferHeap (workaround)                        |     0.2976ms |      1.549ms |      1.847ms |     0.2399ms
NonCoWHeap                                            |     0.3607ms |      1.529ms |       1.89ms |      0.177ms
ArrayPointerHeap (workaround)                         |     0.3182ms |      1.631ms |       1.95ms |     0.1849ms
ManagedBufferHeap                                     |     0.4022ms |      1.594ms |      1.997ms |     0.3024ms
ArrayHeap                                             |     0.2881ms |      1.762ms |       2.05ms |     0.1094ms
Framework.PointerValueElementHeap                     |     0.3474ms |      1.899ms |      2.246ms |     0.2025ms
ArrayPointerHeap                                      |     0.4628ms |      1.919ms |      2.382ms |     0.2507ms
ClosureArrayBufferHeap                                |     0.4978ms |      3.526ms |      4.023ms |     0.2143ms
ClosureUnsafePointerHeap (local literal)              |     0.4339ms |      3.605ms |      4.039ms |      0.282ms
ClosureUnsafePointerHeap (argument <)                 |     0.4329ms |      3.713ms |      4.146ms |     0.3438ms
ClosureUnsafePointerHeap (argument literal)           |     0.4193ms |      3.773ms |      4.193ms |     0.3011ms
ClosureManagedBufferHeap                              |     0.4468ms |      3.872ms |      4.319ms |      0.374ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.316ms |      10.49ms |      13.81ms |     0.9287ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.386ms |      10.67ms |      14.05ms |      1.072ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.364ms |      10.91ms |      14.28ms |      1.115ms
Framework.ClosureArrayBufferHeap                      |      7.622ms |       28.8ms |      36.42ms |      3.179ms
Framework.NonCoWHeap                                  |      5.128ms |      44.01ms |      49.14ms |      2.093ms
Framework.ClosureManagedBufferHeap                    |      20.92ms |      31.31ms |      52.23ms |      3.417ms
Framework.UnsafePointerHeap                           |      7.567ms |      48.25ms |      55.81ms |      5.162ms
ClosureUnsafePointerHeap (local <)                    |      4.706ms |      53.26ms |      57.96ms |      25.37ms
Framework.ClosureUnsafePointerHeap (local <)          |      8.087ms |      55.75ms |      63.83ms |      4.196ms
Framework.ArrayPointerHeap                            |      17.13ms |      68.75ms |      85.88ms |      5.397ms
Framework.ManagedBufferHeap                           |       23.1ms |      63.93ms |      87.03ms |      5.134ms
Framework.ArrayHeap                                   |      19.74ms |      185.4ms |      205.2ms |      15.63ms
-----------------------------------------------------------------------------------------------------------------

UnmanagedElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
UnmanagedElementHeap                                  |     0.2798ms |      1.282ms |      1.562ms |     0.1511ms
UnsafePointerHeap                                     |     0.2914ms |      1.327ms |      1.619ms |     0.1525ms
ManagedBufferHeap (workaround)                        |     0.3028ms |      1.379ms |      1.682ms |     0.1472ms
ArrayPointerHeap (workaround)                         |     0.2761ms |       1.43ms |      1.706ms |     0.1738ms
NonCoWHeap                                            |     0.3385ms |      1.438ms |      1.776ms |     0.2499ms
ManagedBufferHeap                                     |     0.3913ms |      1.421ms |      1.812ms |     0.2999ms
Framework.UnmanagedElementHeap                        |      0.299ms |      1.616ms |      1.915ms |     0.1671ms
ArrayHeap                                             |     0.3157ms |      1.643ms |      1.959ms |     0.1218ms
ArrayPointerHeap                                      |     0.5002ms |      1.602ms |      2.102ms |     0.2097ms
ClosureArrayBufferHeap                                |     0.4668ms |       3.41ms |      3.876ms |      0.285ms
ClosureUnsafePointerHeap (local literal)              |     0.3863ms |      3.548ms |      3.934ms |     0.2934ms
ClosureUnsafePointerHeap (argument <)                 |     0.4074ms |      3.602ms |      4.009ms |     0.3745ms
ClosureUnsafePointerHeap (argument literal)           |     0.4012ms |        3.7ms |      4.101ms |     0.3475ms
ClosureManagedBufferHeap                              |     0.4041ms |      3.775ms |      4.179ms |      0.419ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.208ms |      10.53ms |      13.74ms |     0.9376ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.291ms |      10.51ms |       13.8ms |     0.8442ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.357ms |      10.88ms |      14.24ms |      0.968ms
Framework.NonCoWHeap                                  |      2.162ms |      15.44ms |       17.6ms |       1.19ms
ClosureUnsafePointerHeap (local <)                    |      1.785ms |      19.54ms |      21.32ms |      1.886ms
Framework.UnsafePointerHeap                           |      4.432ms |      18.47ms |      22.91ms |      2.068ms
Framework.ClosureUnsafePointerHeap (local <)          |      5.243ms |      27.52ms |      32.76ms |        1.9ms
Framework.ClosureArrayBufferHeap                      |      7.659ms |      28.93ms |      36.59ms |      2.943ms
Framework.ArrayPointerHeap                            |      13.88ms |      38.21ms |      52.09ms |      3.852ms
Framework.ClosureManagedBufferHeap                    |      21.03ms |       31.8ms |      52.83ms |      2.886ms
Framework.ManagedBufferHeap                           |       20.4ms |      35.82ms |      56.22ms |      2.955ms
Framework.ArrayHeap                                   |       15.8ms |      155.1ms |      170.9ms |      11.72ms
-----------------------------------------------------------------------------------------------------------------

