ReferenceElement                                      |       Insert |       Remove |        Total |            σ
ClosureUnsafePointerHeap (argument <)                 |      8.088ms |      48.51ms |       56.6ms |      3.177ms
Framework.ClosureUnsafePointerHeap (argument literal) |        8.4ms |      48.22ms |      56.62ms |      2.876ms
Framework.ClosureUnsafePointerHeap (local literal)    |      8.257ms |      48.49ms |      56.75ms |      3.853ms
Framework.ClosureUnsafePointerHeap (argument <)       |      8.375ms |      48.69ms |      57.07ms |      3.082ms
ClosureUnsafePointerHeap (argument literal)           |       8.35ms |      48.87ms |      57.21ms |      2.987ms
MediumValueElementHeap                                |      12.15ms |      46.07ms |      58.22ms |      3.269ms
Framework.MediumValueElementHeap                      |      12.19ms |      46.51ms |       58.7ms |      5.314ms
UnsafePointerHeap                                     |      12.43ms |       46.5ms |      58.93ms |      3.358ms
Framework.UnsafePointerHeap                           |      12.28ms |      48.27ms |      60.55ms |      3.675ms
Framework.ClosureUnsafePointerHeap (local <)          |      8.812ms |      52.27ms |      61.08ms |      2.415ms
ClosureUnsafePointerHeap (local <)                    |      8.904ms |      55.03ms |      63.93ms |      3.721ms
ArrayPointerHeap (workaround)                         |      19.04ms |      65.92ms |      84.96ms |        4.3ms
ArrayPointerHeap                                      |      23.89ms |      65.22ms |      89.11ms |      4.784ms
ManagedBufferHeap                                     |      27.44ms |      61.78ms |      89.22ms |      4.115ms
Framework.ClosureManagedBufferHeap                    |      23.99ms |      65.39ms |      89.39ms |      4.537ms
Framework.ArrayPointerHeap                            |      24.17ms |      67.03ms |      91.21ms |      4.281ms
ClosureManagedBufferHeap                              |      24.54ms |       66.7ms |      91.24ms |      4.092ms
Framework.ManagedBufferHeap                           |      27.13ms |      64.29ms |      91.42ms |      6.425ms
ManagedBufferHeap (workaround)                        |      28.71ms |      65.32ms |      94.03ms |      4.179ms
ClosureArrayBufferHeap                                |      13.53ms |      81.75ms |      95.28ms |      4.367ms
Framework.ClosureArrayBufferHeap                      |      13.44ms |      81.98ms |      95.41ms |      4.927ms
ArrayHeap                                             |       21.7ms |      165.7ms |      187.4ms |      9.479ms
Framework.ArrayHeap                                   |      21.79ms |      167.4ms |      189.2ms |      9.239ms
-----------------------------------------------------------------------------------------------------------------

ValElement Large                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      10.96ms |      49.19ms |      60.16ms |      4.393ms
NonCoWHeap                                            |      11.03ms |      49.24ms |      60.27ms |      4.041ms
ClosureUnsafePointerHeap (argument <)                 |      9.008ms |      53.47ms |      62.48ms |      2.755ms
ClosureUnsafePointerHeap (local literal)              |      9.139ms |      53.71ms |      62.85ms |      2.581ms
UnsafePointerHeap                                     |      13.17ms |      51.52ms |      64.69ms |      3.712ms
Framework.ClosureUnsafePointerHeap (local literal)    |      9.306ms |      55.43ms |      64.73ms |      4.576ms
ClosureUnsafePointerHeap (argument literal)           |      9.317ms |      55.78ms |      65.09ms |       3.19ms
Framework.UnsafePointerHeap                           |      13.56ms |         52ms |      65.55ms |      4.727ms
Framework.ClosureUnsafePointerHeap (argument <)       |      9.336ms |      56.43ms |      65.77ms |      4.419ms
LargeValueElementHeap                                 |      13.36ms |      52.46ms |      65.82ms |      4.666ms
Framework.LargeValueElementHeap                       |      13.55ms |      52.68ms |      66.24ms |      4.371ms
Framework.ClosureUnsafePointerHeap (argument literal) |      9.402ms |      57.41ms |      66.81ms |      4.063ms
Framework.ClosureUnsafePointerHeap (local <)          |      9.493ms |      59.65ms |      69.14ms |      2.886ms
ClosureUnsafePointerHeap (local <)                    |      9.787ms |      59.87ms |      69.66ms |      4.051ms
ArrayPointerHeap (workaround)                         |       20.6ms |      71.28ms |      91.88ms |      5.108ms
ArrayPointerHeap                                      |      25.24ms |      71.98ms |      97.22ms |      5.039ms
Framework.ClosureManagedBufferHeap                    |      24.74ms |       72.6ms |      97.34ms |      4.741ms
Framework.ManagedBufferHeap                           |      28.79ms |      68.68ms |      97.47ms |      4.785ms
ClosureManagedBufferHeap                              |      25.19ms |      72.54ms |      97.74ms |      4.858ms
Framework.ArrayPointerHeap                            |       25.5ms |      72.61ms |      98.11ms |      4.504ms
ManagedBufferHeap                                     |      28.66ms |      69.84ms |       98.5ms |      5.988ms
ManagedBufferHeap (workaround)                        |      29.37ms |      70.62ms |      99.99ms |      4.039ms
ClosureArrayBufferHeap                                |      14.83ms |      90.39ms |      105.2ms |      5.014ms
Framework.ClosureArrayBufferHeap                      |      14.98ms |      91.26ms |      106.2ms |      5.862ms
ArrayHeap                                             |      22.55ms |      171.6ms |      194.1ms |       8.44ms
Framework.ArrayHeap                                   |      22.51ms |      174.6ms |      197.1ms |      11.24ms
-----------------------------------------------------------------------------------------------------------------

PointerElement Ref                                    |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
NonCoWHeap                                            |      4.977ms |      15.63ms |      20.61ms |       1.29ms
Framework.NonCoWHeap                                  |      5.141ms |      15.71ms |      20.85ms |      1.563ms
ClosureUnsafePointerHeap (local literal)              |      4.379ms |      19.86ms |      24.24ms |      1.117ms
ClosureUnsafePointerHeap (argument literal)           |      4.475ms |      20.17ms |      24.64ms |      1.189ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.316ms |      20.39ms |      24.71ms |       1.09ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.402ms |      20.81ms |      25.21ms |      1.695ms
UnsafePointerHeap                                     |      7.005ms |      18.63ms |      25.64ms |      1.415ms
Framework.PointerReferenceElementHeap                 |      7.292ms |      18.39ms |      25.68ms |      1.571ms
Framework.UnsafePointerHeap                           |      7.303ms |      18.47ms |      25.77ms |      1.792ms
PointerReferenceElementHeap                           |      7.422ms |      19.14ms |      26.56ms |      3.502ms
ClosureUnsafePointerHeap (argument <)                 |      5.029ms |      26.68ms |      31.71ms |      1.275ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.897ms |      27.01ms |      31.91ms |       2.72ms
ClosureUnsafePointerHeap (local <)                    |      5.074ms |      26.91ms |      31.99ms |      2.264ms
Framework.ClosureUnsafePointerHeap (argument <)       |       5.15ms |      27.23ms |      32.38ms |      2.664ms
ClosureArrayBufferHeap                                |       8.29ms |      38.63ms |      46.92ms |      2.292ms
ArrayPointerHeap (workaround)                         |      14.42ms |      33.74ms |      48.16ms |      3.059ms
Framework.ClosureArrayBufferHeap                      |      8.493ms |      40.49ms |      48.98ms |      5.951ms
