ReferenceElement                                        |       Insert |       Remove |        Total |            σ
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      7.676ms |      46.21ms |      53.88ms |      6.219ms
Framework.ClosureUnsafePointerHeap (argument <)        |      8.127ms |      46.52ms |      54.65ms |      13.67ms
BinaryHeap.MediumValueElementHeap                      |      12.26ms |      44.38ms |      56.65ms |      2.475ms
Framework.UnsafePointerHeap                            |      12.27ms |      44.44ms |      56.71ms |      1.959ms
Framework.MediumValueElementHeap                       |      12.37ms |      44.48ms |      56.85ms |      2.287ms
BinaryHeap.UnsafePointerHeap                           |      12.33ms |      45.49ms |      57.82ms |       9.99ms
BinaryHeap.ArrayPointerHeap (workaround)               |      19.82ms |      60.06ms |      79.88ms |      5.565ms
BinaryHeap.ArrayPointerHeap                            |      23.54ms |      63.32ms |      86.87ms |      2.885ms
BinaryHeap.ManagedBufferHeap                           |      27.17ms |       60.6ms |      87.77ms |      3.816ms
Framework.ArrayPointerHeap                             |      23.93ms |      64.02ms |      87.95ms |      3.342ms
Framework.ManagedBufferHeap                            |         27ms |      61.28ms |      88.28ms |      4.485ms
BinaryHeap.ClosureManagedBufferHeap                    |       23.7ms |      65.26ms |      88.96ms |      3.918ms
Framework.ClosureManagedBufferHeap                     |      23.92ms |      65.23ms |      89.15ms |      5.286ms
Framework.ClosureArrayBufferHeap                       |      13.33ms |      79.67ms |         93ms |      4.724ms
BinaryHeap.ManagedBufferHeap (workaround)              |      29.01ms |      64.32ms |      93.32ms |      10.81ms
BinaryHeap.ClosureArrayBufferHeap                      |      13.46ms |      80.64ms |       94.1ms |      4.032ms
BinaryHeap.ArrayHeap                                   |      22.64ms |        169ms |      191.6ms |      6.899ms
Framework.ArrayHeap                                    |      22.94ms |      169.5ms |      192.4ms |      6.685ms
------------------------------------------------------------------------------------------------------------------

ValElement Large                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
